RACEDATE|RACECODE|RACENUMBER,PAUL LALLY,CLINT HUTCHINSON,BRETT DAVIS,ALAN AITKEN,MICHAEL COX,ANDREW HAWKINS,PHILLIP WOO,SHANNON,RPONLINE,RESULT,WINODDS,FAVPOS,FAVODDS,NORUNNERS,MARKET,SURFACE,CLASS,F4,TIERCE,QTT,DT,TT,TTCONS,6UP,6UPC,DH
20150614ST4,6-1-8,12-10-7,7-8-2,7-8-6-10,7-8-6-10,9-8-10-2,1-9-7-10,7-8-2-9,8-7-2-11,7-2-12-1,3.4,1,3.4,12,,,,,,,,,,,,
20150614ST5,1-10-8,2-1-8,1-8-9,1-8-10-14,5-14-8-10,1-3-8-2,5-14-1-10,8-14-1-10,8-5-1-10,12-10-2-8,42,4,2.7,14,,,,,,,,,,,,
20150614ST6,13-6-11,13-6-1,1-13-2,13-6-2-3,13-3-6-2,13-1-9-11,9-13-6-3,13-1-14-11,2-4-14-13,13-1-14-11,2.6,1,2.6,14,,,,,,,,,,,,
20150614ST7,3-1-7,1-7-3,6-11-7,1-11-7-3,1-11-7-4,1-7-4-5,11-1-7-4,1-6-7-13,1-11-13-7,7-6-1-4,8.5,3,1.8,13,,,,,,,,,,,,
20150614ST8,5-2-8,5-1-9,1-5-6,5-9-7-3,5-1-9-4,9-5-7-3,5-2-1-9,5-6-8-2,5-9-7-6,4-3-8-1,20,6,1.9,9,,,,,,,,,,,,
20150614ST9,11-14-5,11-5-10,6-8-10,3-10-12-2,5-8-12-13,3-2-8-11,6-8-12-1,11-12-8-10,12-2-6-1,3-14-7-2,11,13,2.9,14,,,,,,,,,,,,
20150614ST10,1-13-4,2-1-9,4-1-9,1-9-2-4,1-3-2-9,14-6-1-4,1-9-2-4,4-9-1-5,1-4-9-2,4-14-1-2,6,3,2.5,14,,,,,,,,,,,,
20150614ST11,8-7-5,8-5-7,8-5-4,11-1-5-4,4-8-11-5,4-8-5-10,7-8-5-3,8-4-2-7,8-4-7-11,4-3-7-2,3.8,8,2.4,12,,,,,,,,,,,,
20150617HV1,3-2-4,2-3-4,2-3-4,3-4-9-10,3-4-11-1,9-3-5-4,4-5-3-10,4-5-3-9,4-3-11-5,2-4-5-11,6.8,2,3.6,12,,,,,,,,,,,,
20150617HV2,1-2-6,2-7-5,2-3-6,2-1-6-7,2-1-4-6,2-1-8-6,2-1-11-7,6-2-3-1,2-1-6-8,2-4-6-10,2,1,2,12,,,,,,,,,,,,
20150617HV3,4-7-2,4-2-7,7-4-1,4-7-5-2,2-7-4-3,3-1-2-5,4-5-7-1,5-7-4-6,4-5-7-2,4-3-7-5,2,1,2,8,,,,,,,,,,,,
20150617HV4,3-6-1,3-9-7,11-8-9,1-2-7-5,3-8-11-7,2-8-11-12,8-3-5-2,7-5-3-8,7-3-8-5,8-1-7-9,4.5,3,3.8,12,,,,,,,,,,,,
20150617HV5,3-10-8,10-4-3,10-11-4,5-11-9-7,3-2-11-7,3-9-11-10,11-10-4-3,7-12-9-4,3-4-11-7,5-4-11-6,23,2,4.5,12,,,,,,,,,,,,
20150617HV6,3-4-10,3-1-2,3-2-1,11-3-10-2,3-4-1-9,3-2-1-4,11-1-10-3,3-2-1-8,3-1-4-2,1-3-10-12,7.4,2,1.8,12,,,,,,,,,,,,
20150617HV7,10-2-4,10-12-8,4-1-12,1-6-10-2,3-1-7-8,8-2-3-1,1-3-2-11,3-4-8-10,1-4-10-2,7-4-12-10,8.2,7,4.2,12,,,,,,,,,,,,
20150617HV8,8-2-1,8-1-2,8-1-6,8-5-12-10,8-9-2-1,8-12-1-5,8-1-12-11,8-6-2-1,8-12-7-1,9-8-12-6,13,2,1.6,12,,,,,,,,,,,,
20150621ST1,2-10-6,11-10-6,6-10-1,10-8-6-2,10-8-6-2,10-6-8-4,10-9-6-2,10-1-2-9,10-6-9-2,10-2-9-8,2.4,1,2.4,14,,,,,,,,,,,,
20150621ST2,4-3-7,7-4-9,7-10-3,7-11-24,2-4-7-3,3-4-2-10,7-4-1-10,1-7-10-4,7-1-4-2,1-3-2-7,5.3,4,2.8,12,,,,,,,,,,,,
20150621ST3,5-6-1,10-6-5,5-6-1,1-3-5-7,1-10-5-7,5-6-10-3,1-5-10-6,1-6-5-10,1-3-10-6,5-6-10-7,4.4,2,3.1,12,,,,,,,,,,,,
20150621ST4,11-3-4,11-10-3,11-8-5,11-10-1-4,14-10-11-5,14-11-6-10,10-11-4-3,1-8-4-5,11-10-7-4,10-14-11-4,4.7,3,2.2,14,,,,,,,,,,,,
20150621ST5,6-4-10,6-4-12,6-4-7,6-4-7-3,4-6-10-13,6-1-4-13,4-6-3-12,4-6-1-8,4-6-10-7,4-1-6-5,2.7,1,2.7,14,,,,,,,,,,,,
20150621ST6,10-1-2,2-11-1,2-5-1,2-10-13-1,2-11-8-5,8-1-6-11,2-8-11-3,2-10-1-8,2-1-4-8,12-4-7-9,26,14,2.6,14,,,,,,,,,,,,
20150621ST7,1-5-11,5-1-10,1-5-11,1-5-3-7,1-5-11-8,1-11-5-6,1-5-11-3,1-2-5-11,1-5-11-4,1-8-10-11,1.6,1,1.6,12,,,,,,,,,,,,
20150621ST8,5-8-13,5-13-14,5-8-6,14-5-7-9,8-13-14-4,9-13-14-8,5-6-8-13,8-7-3-6,8-13-6-5,3-6-9-11,32,11,4.4,14,,,,,,,,,,,,
20150621ST9,4-5-8,6-8-5,8-4-6,5-6-1-4,1-4-5-2,2-4-5-7,8-4-5-10,4-2-1-5,4-1-5-6,8-5-1-7,5.7,2,3.9,12,,,,,,,,,,,,
20150621ST10,2-7-1,6-2-7,7-1-2,2-7-1-11,7-4-2-3,7-2-4-5,5-1-2-11,1-5-7-12,2-1-11-5,12-11-2-6,11,3,3.1,12,,,,,,,,,,,,
20150624HV1,3-5-7,NONE,6-10-9,10-6-2-5,6-5-10-8,5-8-10-3,10-6-7-11,6-10-8-9,6-10-2-5,8-2-5-10,11,10,3.2,11,,,,,,,,,,,,
20150624HV2,3-2-11,NONE,2-3-9,4-11-12-9,3-5-8-9,3-8-5-2,3-2-4-5,4-3-2-9,3-9-8-5,2-8-3-9,6.2,4,4.1,11,,,,,,,,,,,,
20150624HV3,9-5-2,NONE,2-8-9,8-6-1-11,8-5-2-9,9-5-8-11,10-9-8-3,8-3-11-2,8-9-2-4,8-10-11-3,3.5,1,3.5,12,,,,,,,,,,,,
20150624HV4,1-4-2,NONE,1-4-5,2-4-8-1,1-2-4-11,2-1-4-11,2-5-8-7,11-5-1-2,11-4-1-5,11-1-4-7,3.5,2,3.3,11,,,,,,,,,,,,
20150624HV5,1-2-6,NONE,8-12-2,8-12-2-4,1-2-7-4,7-1-2-5,8-7-2-9,4-1-12-2,2-8-1-12,5-1-6-2,6.2,7,3.7,12,,,,,,,,,,,,
20150624HV6,5-11-3,NONE,5-4-11,12-4-3-7,12-11-4-1,7-12-11-3,5-4-2-11,3-8-5-12,3-11-7-4,11-4-1-3,9,4,4,11,,,,,,,,,,,,
20150624HV7,6-3-8,NONE,7-5-11,6-2-8-5,8-6-11-4,8-2-6-11,6-2-5-9,7-2-1-3,6-12-2-8,6-11-3-2,2.8,1,2.8,11,,,,,,,,,,,,
20150624HV8,9-2-3,NONE,7-9-2,9-3-7-2,9-5-7-1,9-7-3-2,2-9-5-7,9-7-4-12,9-4-8-3,9-3-7-10,3.2,1,3.2,11,,,,,,,,,,,,
20150627ST1,5-7-2,4-11-5,9-8-1-11,10-1-3-7,7-3-4-11,7-3-10-9,8-6-1-9,8-7-1-3,8-7-11-2,4-1-8-5,23,6,3.8,11,,,,,,,,,,,,
20150627ST2,5-10-9,7-6-12,5-7-10-12,7-5-11-10,7-5-12-10,7-10-13-3,5-10-13-9,5-7-3-14,5-12-10-7,11-14-13-6,43,8,2.7,14,,,,,,,,,,,,
20150627ST3,6-2-3,3-4-5,4-10-2-5,10-4-3-2,10-4-12-1,4-2-12-13,4-12-10-2,10-12-4-8,4-3-12-2,4-6-5-12,2,1,2,14,,,,,,,,,,,,
20150627ST4,1-11-9,8-4-3,3-2-11-5,4-9-8-1,9-4-2-11,4-9-2-6,9-2-3-11,2-1-3-11,2-9-4-11,11-3-9-5,6.7,3,3.2,12,,,,,,,,,,,,
20150627ST5,5-9-4,4-5-9,9-2-4-11,4-9-2-13,4-3-2-8,5-4-13-9,5-2-11-4,8-2-4-9,4-13-2-9,4-5-8-9,3.4,1,3.4,14,,,,,,,,,,,,
